,Unnamed: 0,Unnamed: 0.1,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0.1.1,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Hispanic & Black Percentage,Black plurality (Y/N),Pressley percentage,Wu Percentage,Flaherty Percentage,Annissa Percentage,Latino plurality (Y/N),White plurality (Y/N),Asian plurality (Y/N)
171,171,171,209,10,159,329,59,130,119,63,0,1078,866,486,1803,1721,0.282393957001743,172,1803,2048,98,1776,19,18,2,68,67,2048,51,1727,178,15,17,2,7,51,86.71875,0.927734375,0.87890625,0.09765625,3.3203125,3.271484375,8.69140625,4.78515625,95.41015625,Y,30.5194805194805,19.3877551020408,14.7495361781076,11.038961038961,N,N,N
172,172,172,179,11,150,288,34,80,116,33,3,894,886,445,1804,1753,0.253850541928123,173,1804,2024,96,1764,5,9,0,95,55,2024,70,1711,168,5,9,0,21,40,87.1541501976285,0.24703557312253,0.444664031620553,0,4.69367588932806,2.71739130434783,8.300395256917,4.74308300395257,95.4545454545455,Y,32.2147651006711,20.0223713646532,16.7785234899329,12.9753914988814,N,N,N
173,173,173,251,21,203,310,69,102,115,54,3,1128,1052,545,1805,1728,0.315393518518518,174,1805,1923,104,1681,24,4,0,56,54,1923,82,1630,147,10,4,0,13,37,87.4154966198648,1.24804992199688,0.208008320332813,0,2.91211648465939,2.80811232449298,7.64430577223089,5.40821632865315,95.0598023920957,Y,27.4822695035461,22.2517730496454,17.9964539007092,10.1950354609929,N,N,N
174,174,174,319,22,228,371,75,150,191,90,3,1449,947,599,1806,1935,0.309560723514212,175,1806,1999,171,1672,8,13,0,69,66,1999,110,1632,184,7,13,0,6,47,83.6418209104552,0.400200100050025,0.650325162581291,0,3.45172586293147,3.30165082541271,9.20460230115058,8.55427713856928,92.8464232116058,Y,25.6038647342995,22.0151828847481,15.7349896480331,13.1815044858523,N,N,N
175,175,175,283,22,180,251,62,68,161,57,3,1087,717,451,1807,1494,0.301874163319946,176,1807,1688,621,653,18,62,0,277,57,1688,410,584,587,8,59,0,17,23,38.6848341232227,1.06635071090047,3.67298578199052,0,16.4099526066351,3.37677725118483,34.7748815165877,36.7890995260664,73.4597156398104,Y,23.0910763569457,26.0349586016559,16.5593376264949,14.8114075436982,N,N,N
176,176,176,392,30,297,364,79,136,257,83,5,1643,1125,692,1808,2617,0.264424914023691,177,1808,3041,859,1642,15,58,2,356,109,3041,566,1548,791,5,57,2,16,56,53.9953962512332,0.493258796448537,1.90726734626768,0.0657678395264716,11.7066754357119,3.5843472541927,26.0111805327195,28.2472870766195,80.0065767839527,Y,22.1545952525867,23.8587948874011,18.0766889835667,15.642118076689,N,N,N
177,177,177,376,38,233,296,49,63,211,56,3,1325,671,499,1809,1472,0.338994565217391,178,1809,1606,960,372,7,41,1,160,65,1606,847,345,318,6,40,1,18,31,23.1631382316314,0.435865504358655,2.55292652552926,0.062266500622665,9.9626400996264,4.04732254047323,19.8007471980075,59.7758405977584,42.9638854296389,N,22.3396226415094,28.377358490566,17.5849056603774,15.9245283018868,N,Y,N
178,178,178,619,50,334,402,78,105,338,66,8,2000,1004,751,1810,2081,0.360884190293128,179,1810,2337,1576,371,13,89,0,212,76,2337,1364,351,470,5,87,0,25,35,15.875053487377,0.556268720581943,3.80830124090715,0,9.07145913564399,3.2520325203252,20.1112537441164,67.4368848951647,35.9863072314934,N,20.1,30.95,16.7,16.9,N,Y,N
179,179,179,214,34,147,176,54,66,123,46,1,861,539,350,1811,1418,0.246826516220028,180,1811,1410,415,707,9,29,0,194,56,1410,298,664,390,4,28,0,7,19,50.1418439716312,0.638297872340425,2.05673758865248,0,13.758865248227,3.97163120567376,27.6595744680851,29.4326241134752,77.8014184397163,Y,20.4413472706156,24.8548199767712,17.0731707317073,14.2857142857143,N,N,N
180,180,180,298,17,248,240,71,53,175,45,10,1157,763,480,1812,1530,0.313725490196078,181,1812,1777,951,600,11,40,1,114,60,1777,803,561,342,8,38,1,3,21,33.7647720877884,0.619020821609454,2.25098480585256,0.056274620146314,6.4153066966798,3.37647720877884,19.2459200900394,53.5171637591446,53.0106921778278,N,20.7433016421781,25.7562662057044,21.4347450302506,15.1253241140882,N,Y,N
