,Ward,Precinct_x,Winner,2nd,3rd,4th,Flaherty,St. Guillen,Wu,Mejia,Murphy,Garrison,Halbert,Essaibi-George,Total,Write-in,Wu Percentage,Ward_Precinct_Code,Black plurality (Y/N),Unnamed: 0_y,Precinct_y,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Turnout,White plurality (Y/N),Asian plurality (Y/N),Hispanic plurality (Y/N)
204,17,10,Essaibi-George,Wu,Flaherty,Mejia,79,39,84,77,16,60,23,86,470,6,17.8723404255319,1710,Y,165,1710,1842,111,1537,5,13,0,116,60,1842,68,1471,197,4,13,0,37,52,83.4419109663409,0.271444082519001,0.705754614549403,0,6.29750271444083,3.25732899022801,10.6948968512486,6.02605863192182,0.0456026058631922,N,N,N
205,8,4,Flaherty/Mejia,Flaherty/Mejia,Wu,Essaibi-George,43,19,42,43,6,33,9,40,235,0,17.8723404255319,0804,Y,74,0804,664,75,392,5,11,0,142,39,664,21,352,239,5,11,0,19,17,59.0361445783133,0.753012048192771,1.6566265060241,0,21.3855421686747,5.87349397590361,35.9939759036145,11.2951807228916,0.0632530120481928,N,N,N
206,13,4,Essaibi-George,Wu,Flaherty/Mejia,Flaherty/Mejia,62,29,68,62,9,52,17,75,381,7,17.8477690288714,1304,Y,114,1304,1261,188,717,8,10,0,238,100,1261,82,668,370,5,10,0,62,64,56.8596352101507,0.63441712926249,0.793021411578113,0,18.8739095955591,7.93021411578112,29.3417922283902,14.9088025376685,0.0539254559873117,N,N,N
207,15,3,Flaherty,Wu,Mejia,Essaibi-George,32,12,28,26,6,19,9,25,157,0,17.8343949044586,1503,Y,137,1503,875,75,418,3,31,0,260,88,875,56,383,164,3,28,0,163,78,47.7714285714286,0.342857142857143,3.54285714285714,0,29.7142857142857,10.0571428571429,18.7428571428571,8.57142857142857,0.032,N,N,N
208,16,4,Essaibi-George,Wu,Murphy,Flaherty,96,58,111,62,97,46,39,113,624,2,17.7884615384615,1604,Y,147,1604,2177,685,688,9,481,0,211,103,2177,624,657,210,5,477,0,120,84,31.6031235645384,0.41341295360588,22.0946256316031,0,9.69223702342673,4.73128158015618,9.64630225080386,31.4653192466697,0.0509875976113918,N,N,N
209,20,19,Flaherty/Essaibi-George,Flaherty/Essaibi-George,Wu,Murphy,152,85,145,40,122,89,32,152,818,1,17.7261613691932,2019,N,224,2019,1038,961,11,0,56,0,4,6,1038,927,10,41,0,56,0,2,2,1.0597302504817,0,5.39499036608863,0,0.385356454720617,0.578034682080925,3.94990366088632,92.5818882466281,0.139691714836224,Y,N,N
210,4,9,Mejia,Wu,St. Guillen,Flaherty,25,35,37,44,10,14,23,22,210,0,17.6190476190476,0409,N,39,0409,4347,3085,411,13,450,3,223,162,4347,2822,368,573,6,447,3,9,119,9.45479641131815,0.299056820795951,10.351966873706,0.0690131124913734,5.12997469519209,3.72670807453416,13.1815044858523,70.9684840119623,0.00851161720726938,Y,N,N
211,20,10,Flaherty,Essaibi-George,Wu,Murphy,289,136,253,67,224,135,62,274,1443,3,17.5329175329175,2010,N,215,2010,1488,1248,71,0,95,1,53,20,1488,1191,60,122,0,94,1,8,12,4.77150537634409,0,6.38440860215054,0.0672043010752688,3.56182795698925,1.34408602150538,8.1989247311828,83.8709677419355,0.17002688172043,Y,N,N
212,17,13,Essaibi-George,Wu,Flaherty,Murphy,168,90,170,100,118,93,47,187,976,3,17.4180327868852,1713,N,168,1713,1535,840,458,2,121,0,52,62,1535,812,440,96,2,120,0,14,51,29.8371335504886,0.13029315960912,7.88273615635179,0,3.38762214983713,4.03908794788274,6.25407166123779,54.7231270358306,0.110749185667752,Y,N,N
213,14,6,Essaibi-George,Flaherty,Wu,Mejia,62,29,60,54,12,49,16,63,345,0,17.3913043478261,1406,Y,126,1406,1174,75,947,4,6,1,89,52,1174,41,878,211,2,6,0,11,25,80.664395229983,0.340715502555366,0.511073253833049,0.0851788756388416,7.5809199318569,4.42930153321976,17.9727427597956,6.38841567291312,0.0511073253833049,N,N,N
