City/Town,Ward,Pct,Edward J. Markey,"Joseph P. Kennedy, III",All Others,Blanks,Total Votes Cast,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,4.00,6.00,206.00,100.00,0.00,0.00,306.00,2498.00,1639.00,235.00,9.00,437.00,0.00,84.00,94.00,2498.00,1494.00,222.00,264.00,8.00,437.00,0.00,14.00,59.00,9.41,0.36,17.49,0.00,3.36,3.76,10.57,65.61
Boston,4.00,7.00,260.00,111.00,0.00,2.00,373.00,4109.00,2808.00,291.00,10.00,745.00,2.00,114.00,139.00,4109.00,2631.00,276.00,329.00,6.00,742.00,2.00,12.00,111.00,7.08,0.24,18.13,0.05,2.77,3.38,8.01,68.34
Boston,4.00,8.00,202.00,91.00,1.00,2.00,296.00,4521.00,3301.00,284.00,8.00,701.00,2.00,111.00,114.00,4521.00,3106.00,266.00,331.00,6.00,696.00,1.00,20.00,95.00,6.28,0.18,15.51,0.04,2.46,2.52,7.32,73.01
Boston,4.00,9.00,69.00,91.00,0.00,1.00,161.00,4347.00,3085.00,411.00,13.00,450.00,3.00,223.00,162.00,4347.00,2822.00,368.00,573.00,6.00,447.00,3.00,9.00,119.00,9.45,0.30,10.35,0.07,5.13,3.73,13.18,70.97
Boston,4.00,10.00,75.00,18.00,0.00,0.00,93.00,5545.00,4247.00,359.00,6.00,601.00,5.00,155.00,172.00,5545.00,4098.00,328.00,350.00,3.00,592.00,4.00,19.00,151.00,6.47,0.11,10.84,0.09,2.80,3.10,6.31,76.59
Boston,5.00,1.00,928.00,497.00,0.00,13.00,1438.00,6467.00,4012.00,300.00,8.00,1921.00,1.00,103.00,122.00,6467.00,3858.00,277.00,288.00,7.00,1920.00,1.00,18.00,98.00,4.64,0.12,29.70,0.02,1.59,1.89,4.45,62.04
Boston,5.00,2.00,559.00,222.00,0.00,0.00,781.00,4207.00,3131.00,194.00,8.00,606.00,2.00,130.00,136.00,4207.00,2904.00,178.00,401.00,5.00,601.00,2.00,11.00,105.00,4.61,0.19,14.40,0.05,3.09,3.23,9.53,74.42
Boston,5.00,3.00,431.00,204.00,0.00,0.00,635.00,1873.00,1744.00,20.00,0.00,92.00,0.00,8.00,9.00,1873.00,1695.00,17.00,58.00,0.00,92.00,0.00,3.00,8.00,1.07,0.00,4.91,0.00,0.43,0.48,3.10,93.11
Boston,5.00,4.00,507.00,170.00,2.00,1.00,680.00,2702.00,2405.00,70.00,2.00,153.00,1.00,29.00,42.00,2702.00,2324.00,68.00,106.00,2.00,152.00,1.00,12.00,37.00,2.59,0.07,5.66,0.04,1.07,1.55,3.92,89.01
Boston,5.00,5.00,163.00,90.00,0.00,1.00,254.00,677.00,636.00,4.00,1.00,21.00,0.00,1.00,14.00,677.00,624.00,4.00,17.00,1.00,21.00,0.00,1.00,9.00,0.59,0.15,3.10,0.00,0.15,2.07,2.51,93.94
