,TITO JACKSON,JOSEPH A WILEY,ROBERT CAPPUCCI,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Walsh Percentage of votes,Jackson Percentage of votes,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Ward_Precinct_BallotXTurnout
36,24,2,0,34,0,0,60,0,60,56.66666667,40,0409,1115,0.05381165919,39,0409,4347,3085,411,13,450,3,223,162,4347,2822,368,573,6,447,3,9,119,9.454796411,0.2990568208,10.35196687,0.06901311249,5.129974695,3.726708075,13.18150449,70.96848401,3.228699552
37,12,0,0,8,0,0,20,0,20,40,60,0410,781,0.02560819462,40,0410,5545,4247,359,6,601,5,155,172,5545,4098,328,350,3,592,4,19,151,6.474301172,0.1082055906,10.83859333,0.09017132552,2.795311091,3.101893598,6.311992786,76.5915239,0.5121638924
38,130,4,10,590,0,3,737,13,750,78.66666667,17.33333333,0501,4518,0.166002656,41,0501,6467,4012,300,8,1921,1,103,122,6467,3858,277,288,7,1920,1,18,98,4.638936137,0.1237049637,29.7046544,0.01546312046,1.592701407,1.886500696,4.453378692,62.03803928,124.501992
39,40,0,1,40,0,1,82,1,83,48.19277108,48.19277108,0502,1456,0.05700549451,42,0502,4207,3131,194,8,606,2,130,136,4207,2904,178,401,5,601,2,11,105,4.611362016,0.1901592584,14.40456382,0.04753981459,3.090087949,3.232707392,9.531732826,74.42357975,4.731456044
40,32,4,4,59,0,1,100,0,100,59,32,0503,1697,0.05892751915,43,0503,1873,1744,20,0,92,0,8,9,1873,1695,17,58,0,92,0,3,8,1.067805659,0,4.911906033,0,0.4271222637,0.4805125467,3.096636412,93.1126535,5.892751915
41,47,2,7,85,0,3,144,0,144,59.02777778,32.63888889,0504,2186,0.06587374199,44,0504,2702,2405,70,2,153,1,29,42,2702,2324,68,106,2,152,1,12,37,2.590673575,0.074019245,5.662472243,0.0370096225,1.073279053,1.554404145,3.923019985,89.00814212,9.485818847
42,25,1,2,49,0,1,78,0,78,62.82051282,32.05128205,0505,680,0.1147058824,45,0505,677,636,4,1,21,0,1,14,677,624,4,17,1,21,0,1,9,0.5908419498,0.1477104874,3.101920236,0,0.1477104874,2.067946824,2.511078287,93.94387001,8.947058824
43,31,0,3,77,0,0,111,0,111,69.36936937,27.92792793,0506,1809,0.06135986733,46,0506,2212,1965,77,3,114,0,21,32,2212,1896,65,104,3,114,0,4,26,3.481012658,0.1356238698,5.153707052,0,0.9493670886,1.446654611,4.701627486,88.83363472,6.810945274
44,41,0,3,70,0,1,115,0,115,60.86956522,35.65217391,0507,2122,0.05419415646,47,0507,2626,2323,54,2,175,1,26,45,2626,2231,50,126,2,175,1,3,38,2.056359482,0.0761614623,6.664127951,0.03808073115,0.9900990099,1.713632902,4.798172125,88.46153846,6.232327992
45,34,3,6,68,0,0,111,0,111,61.26126126,30.63063063,0508,1909,0.05814562598,48,0508,2585,2200,65,1,214,0,34,71,2585,2108,63,125,1,212,0,15,61,2.51450677,0.03868471954,8.278529981,0,1.315280464,2.746615087,4.835589942,85.10638298,6.454164484
